sols,distr,mono,ret,stab
"[5, 15, 30, 49, 67, 82, 91, 99]",0.1275085604885957,0.9911435166497446,17.467926961396003,18.586579038534342
"[5, 15, 31, 50, 68, 82, 91, 99]",0.1412859468128358,1.023500550768872,17.48541980008714,18.65020629766885
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[4, 13, 29, 49, 69, 83, 92, 99]",0.10460669456066962,0.9614438865356352,17.58499954786922,18.651050128965526
"[2, 10, 26, 47, 68, 84, 93, 99]",0.11484672598882817,0.8952199185115253,17.545037330872223,18.555103975372575
"[5, 15, 31, 50, 67, 82, 91, 99]",0.08941798941798962,1.0259246784568137,17.469190599993873,18.584533267868675
"[5, 15, 31, 49, 68, 82, 91, 99]",0.24556803555054407,1.004107424291227,17.48340422012809,18.733079679969862
"[4, 13, 29, 50, 69, 83, 92, 99]",0.0,0.981452195074326,17.58731869813206,18.568770893206384
"[2, 10, 26, 46, 68, 84, 93, 99]",0.11379214575348562,0.8867104527302032,17.54714727155584,18.54764987003953
"[4, 13, 29, 50, 69, 84, 92, 99]",0.14355127898637354,0.979697395724108,17.587593190916667,18.71084186562715
"[4, 13, 30, 50, 68, 83, 92, 99]",0.0,1.0029201390954614,17.560610536953163,18.563530676048625
"[8, 17, 32, 50, 66, 81, 90, 99]",0.5167891060345627,1.0509473719458355,17.51850146262762,19.086237940608015
"[4, 14, 30, 50, 69, 84, 92, 99]",0.19396366616346694,0.9988062660791788,17.54868849465261,18.741458426895253
"[5, 16, 31, 50, 68, 82, 91, 99]",0.1412859468128358,1.023500550768872,17.487438895138567,18.652225392720275
"[2, 10, 25, 46, 68, 85, 93, 99]",0.17031328557063863,0.8846580505225323,17.546940625234086,18.601911961327257
"[4, 13, 30, 50, 69, 83, 92, 99]",0.0504123871770934,1.0005610654293968,17.575772376369017,18.62674582897551
"[8, 17, 31, 50, 66, 81, 90, 99]",0.5167891060345627,1.0336033419445434,17.501486505828137,19.051878953807243
"[4, 13, 30, 50, 69, 84, 92, 99]",0.19396366616346694,0.9988062660791788,17.57604686915363,18.768816801396273
"[4, 13, 29, 50, 68, 84, 92, 99]",0.14355127898637354,0.9822609171690617,17.570522118683606,18.696334314839042
"[5, 16, 31, 50, 67, 82, 91, 99]",0.08941798941798962,1.0259246784568137,17.471209695045303,18.586552362920106
"[4, 14, 30, 50, 65, 84, 92, 99]",0.8089975738141119,1.0072825356475206,17.50791049340802,19.324190602869653
"[2, 10, 25, 46, 68, 85, 93, 99]",0.17031328557063863,0.8846580505225323,17.546940625234086,18.601911961327257
"[5, 15, 31, 50, 68, 82, 91, 99]",0.1412859468128358,1.023500550768872,17.48541980008714,18.65020629766885
"[5, 15, 31, 33, 67, 82, 91, 99]",1.9807760713405176,0.8670274242997633,17.479223763804274,20.327027259444556
"[5, 15, 30, 52, 67, 82, 91, 99]",0.22252231930256627,1.043621078014185,17.462862238752862,18.729005636069612
"[4, 13, 29, 50, 69, 84, 85, 99]",2.0629129418693144,1.0160412632097793,17.609317205329994,20.688271410409087
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[4, 27, 44, 50, 69, 83, 92, 99]",1.6070572673513852,1.391458963713869,17.575097654142542,20.5736138852078
"[10, 13, 30, 50, 68, 83, 92, 99]",1.668022860037678,1.0029201390954614,17.609800683368103,20.280743682501242
"[4, 13, 30, 50, 68, 83, 98, 99]",0.18024180625292419,1.0015997682044135,17.55975744772864,18.741599022185977
"[4, 13, 29, 56, 69, 91, 92, 99]",2.980571370484104,1.0591339185356015,17.550704195367306,21.59040948438701
"[5, 15, 31, 65, 67, 82, 91, 99]",1.9724513008228102,1.2120174249719422,17.456795036244536,20.641263762039287
"[4, 13, 29, 50, 69, 74, 92, 99]",1.64498556998557,0.9918207643989643,17.53996863971682,20.176774974101356
"[4, 13, 30, 50, 79, 83, 92, 99]",1.2439863445378152,1.0494671598610772,17.624904348000616,19.91835785239951
"[5, 15, 31, 50, 67, 82, 91, 99]",0.08941798941798962,1.0259246784568137,17.469190599993873,18.584533267868675
"[4, 13, 29, 50, 68, 84, 92, 99]",0.14355127898637354,0.9822609171690617,17.570522118683606,18.696334314839042
"[4, 13, 29, 49, 69, 83, 92, 99]",0.10460669456066962,0.9614438865356352,17.58499954786922,18.651050128965526
"[4, 13, 29, 50, 69, 83, 92, 99]",0.0,0.981452195074326,17.58731869813206,18.568770893206384
"[2, 10, 26, 60, 68, 84, 93, 99]",1.2235698397307937,1.0809450118727115,17.512691825334677,19.817206676938184
"[5, 15, 39, 49, 67, 82, 92, 99]",1.0983348825930568,1.1166794976941445,17.459103904309398,19.6741182845966
"[5, 15, 30, 49, 67, 82, 91, 99]",0.1275085604885957,0.9911435166497446,17.467926961396003,18.586579038534342
"[2, 10, 25, 46, 68, 85, 93, 99]",0.17031328557063863,0.8846580505225323,17.546940625234086,18.601911961327257
"[5, 15, 31, 59, 68, 82, 85, 99]",2.699149915855308,1.1871531847644359,17.49978016381621,21.386083264435953
"[5, 16, 31, 50, 67, 82, 91, 99]",0.08941798941798962,1.0259246784568137,17.471209695045303,18.586552362920106
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[2, 10, 25, 46, 77, 85, 93, 99]",0.13823473256416574,0.9887188354852718,17.578745088837582,18.70569865688702
"[4, 13, 30, 50, 69, 83, 92, 99]",0.0504123871770934,1.0005610654293968,17.575772376369017,18.62674582897551
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[5, 15, 31, 50, 68, 77, 91, 99]",0.9263268318537209,1.0294977031001258,17.494008715205336,19.449833250159184
"[2, 24, 25, 46, 68, 85, 93, 99]",2.288240398524409,0.9920878339322454,17.57624424060553,20.856572473062183
"[2, 25, 26, 48, 68, 84, 93, 99]",2.10811660718011,0.9541722644985218,17.618619413255928,20.68090828493456
"[4, 26, 29, 50, 69, 83, 92, 99]",1.9172271550162823,1.031701171391986,17.579256585106815,20.528184911515083
"[5, 15, 31, 50, 67, 84, 91, 99]",0.7773648661168456,1.0229582800209327,17.477889259347315,19.278212405485093
"[4, 13, 29, 61, 68, 83, 92, 99]",1.2704521613409936,1.14849072501542,17.54251476080602,19.961457647162433
"[8, 10, 25, 46, 68, 85, 93, 99]",1.8913535275869224,0.8846580505225323,17.555075149913637,20.33108672802309
"[4, 13, 29, 50, 69, 83, 92, 99]",0.0,0.981452195074326,17.58731869813206,18.568770893206384
"[11, 15, 34, 50, 67, 89, 93, 99]",3.087827102387957,1.0586801216530166,17.561701382570774,21.70820860661175
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[5, 15, 30, 49, 67, 82, 91, 99]",0.1275085604885957,0.9911435166497446,17.467926961396003,18.586579038534342
"[4, 13, 29, 68, 69, 83, 93, 99]",2.06963036963037,1.220328241558936,17.61691135047408,20.906869961663386
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[4, 13, 21, 50, 68, 83, 92, 99]",0.4839195126095296,0.9255182004153295,17.568033842423226,18.977471555448084
"[2, 10, 26, 46, 68, 84, 93, 99]",0.11379214575348562,0.8867104527302032,17.54714727155584,18.54764987003953
"[2, 10, 25, 46, 68, 85, 93, 99]",0.17031328557063863,0.8846580505225323,17.546940625234086,18.601911961327257
"[2, 10, 26, 47, 68, 84, 93, 99]",0.11484672598882817,0.8952199185115253,17.545037330872223,18.555103975372575
"[2, 10, 26, 47, 60, 84, 93, 99]",1.0031243696154883,0.8794070480652927,17.5253975927516,19.40792901043238
"[4, 13, 29, 50, 69, 83, 85, 99]",1.9148770013333585,1.0178978767504105,17.609033578122634,20.541808456206404
"[2, 10, 26, 46, 68, 84, 93, 99]",0.11379214575348562,0.8867104527302032,17.54714727155584,18.54764987003953
"[2, 10, 25, 46, 68, 85, 93, 99]",0.17031328557063863,0.8846580505225323,17.546940625234086,18.601911961327257
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[2, 10, 25, 46, 68, 85, 93, 99]",0.17031328557063863,0.8846580505225323,17.546940625234086,18.601911961327257
"[4, 21, 29, 50, 78, 83, 92, 99]",2.2596951344548852,1.0428379568196633,17.613610867966756,20.916143959241303
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[1, 10, 13, 46, 68, 86, 93, 99]",1.5969302735764594,0.8825652956475665,17.5993132878791,20.078808857103127
"[4, 13, 29, 50, 68, 83, 86, 99]",1.7459109118086698,1.015739610509011,17.572622585240453,20.334273107558133
"[2, 10, 26, 47, 68, 84, 93, 99]",0.11484672598882817,0.8952199185115253,17.545037330872223,18.555103975372575
"[4, 12, 29, 50, 69, 83, 92, 99]",0.0,0.981452195074326,17.555906277379584,18.53735847245391
"[3, 18, 43, 46, 68, 84, 93, 99]",1.93951928935416,1.1987872064841165,17.595973624374327,20.734280120212603
"[5, 15, 31, 50, 67, 82, 91, 99]",0.08941798941798962,1.0259246784568137,17.469190599993873,18.584533267868675
"[4, 27, 29, 50, 68, 83, 92, 99]",2.012029560334793,1.0533305178716286,17.54353384457749,20.60889392278391
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[4, 13, 29, 66, 68, 78, 92, 99]",2.5576936487042037,1.211328287936881,17.533921292929506,21.30294322957059
"[4, 12, 29, 50, 69, 83, 92, 99]",0.0,0.981452195074326,17.555906277379584,18.53735847245391
"[2, 10, 26, 46, 68, 84, 93, 99]",0.11379214575348562,0.8867104527302032,17.54714727155584,18.54764987003953
"[4, 12, 29, 50, 69, 83, 92, 99]",0.0,0.981452195074326,17.555906277379584,18.53735847245391
"[2, 10, 26, 46, 68, 84, 92, 99]",0.25734342473985916,0.8886980288957906,17.538963322210908,18.685004775846558
"[2, 10, 26, 47, 68, 84, 93, 99]",0.11484672598882817,0.8952199185115253,17.545037330872223,18.555103975372575
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[4, 13, 30, 50, 68, 83, 96, 99]",0.0,0.969463332267692,17.564513816964197,18.53397714923189
"[4, 12, 29, 50, 69, 83, 92, 99]",0.0,0.981452195074326,17.555906277379584,18.53735847245391
"[2, 10, 26, 46, 61, 84, 93, 99]",0.7835872928899799,0.8561436005522827,17.523340719359368,19.16307161280163
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[2, 10, 26, 33, 68, 84, 93, 99]",1.2289667099005621,0.7625597430063056,17.531472904651235,19.522999357558103
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[4, 13, 29, 50, 68, 83, 92, 99]",0.0,0.9839768194919789,17.572156858716205,18.556133678208184
"[8, 26, 29, 50, 68, 89, 92, 99]",3.717849959789512,1.0217847492031005,17.601473155788344,22.34110786478096
"[4, 13, 30, 50, 68, 83, 92, 99]",0.0,1.0029201390954614,17.560610536953163,18.563530676048625
"[4, 7, 29, 50, 68, 83, 96, 99]",1.1726560055623156,0.9505200126642095,17.535597915234653,19.658773933461177
